67,1,0
1,67,0
67,2,0
2,67,0
67,3,0
3,67,0
67,4,0
4,67,0
67,5,0
5,67,0
67,6,0
6,67,0
67,7,0
7,67,0
67,8,0
8,67,0
67,9,0
9,67,0
67,10,0
10,67,0
67,11,0
11,67,0
67,12,0
12,67,0
67,13,0
13,67,0
67,14,0
14,67,0
67,15,0
15,67,0
67,16,0
16,67,0
67,17,0
17,67,0
67,18,0
18,67,0
67,19,0
19,67,0
67,20,0
20,67,0
67,21,0
21,67,0
67,22,0
22,67,0
67,23,0
23,67,0
67,24,0
24,67,0
67,25,0
25,67,0
67,26,0
26,67,0
67,27,0
27,67,0
67,28,0
28,67,0
67,29,0
29,67,0
67,30,0
30,67,0
67,31,0
31,67,0
67,32,0
32,67,0
67,33,0
33,67,0
67,34,0
34,67,0
67,35,0
35,67,0
67,36,0
36,67,0
67,37,0
37,67,0
67,38,0
38,67,0
67,39,0
39,67,0
67,40,0
40,67,0
67,41,0
41,67,0
67,42,0
42,67,0
67,43,0
43,67,0
67,44,0
44,67,0
67,45,0
45,67,0
67,46,0
46,67,0
67,47,0
47,67,0
67,48,0
48,67,0
67,49,0
49,67,0
67,50,0
50,67,0
67,51,0
51,67,0
67,52,0
52,67,0
67,53,0
53,67,0
67,54,0
54,67,0
67,55,0
55,67,0
67,56,0
56,67,0
67,57,0
57,67,0
67,58,0
58,67,0
67,59,0
59,67,0
67,60,0
60,67,0
67,61,0
61,67,0
67,62,0
62,67,0
67,63,0
63,67,0
67,64,0
64,67,0
67,65,0
65,67,0
67,66,0
66,67,0
67,68,18
68,67,18
67,69,18
69,67,18
67,70,19
70,67,19
67,71,2
71,67,2
67,72,38
72,67,38
67,73,26
73,67,26
67,74,12
74,67,12
67,75,9
75,67,9
67,76,15
76,67,15
67,77,10
77,67,10
67,78,26
78,67,26
67,79,16
79,67,16
67,80,90
80,67,90
67,81,45
81,67,45
67,82,60
82,67,60
67,83,9
83,67,9
67,84,45
84,67,45
67,85,25
85,67,25
67,86,11
86,67,11
67,87,22
87,67,22
67,88,32
88,67,32
67,89,45
89,67,45
67,90,10
90,67,10
67,91,57
91,67,57
67,92,12
92,67,12
67,93,12
93,67,12
67,94,4
94,67,4
67,95,34
95,67,34
67,96,4
96,67,4
67,97,7
97,67,7
67,98,13
98,67,13
67,99,72
99,67,72
67,100,7
100,67,7
67,101,18
101,67,18
67,102,90
102,67,90
67,103,90
103,67,90
67,104,90
104,67,90
67,105,90
105,67,90
67,106,90
106,67,90
67,107,90
107,67,90
67,108,90
108,67,90
67,109,90
109,67,90
67,110,90
110,67,90
67,111,90
111,67,90
67,112,90
112,67,90
67,113,90
113,67,90
67,114,90
114,67,90
67,115,90
115,67,90
67,116,90
116,67,90
67,117,90
117,67,90
67,118,90
118,67,90
67,119,90
119,67,90
67,120,90
120,67,90
67,121,90
121,67,90
67,125,90
125,67,90
67,126,90
126,67,90
67,128,90
128,67,90
67,130,90
130,67,90
67,135,90
135,67,90
67,139,90
139,67,90
67,141,90
141,67,90
67,143,90
143,67,90
67,146,90
146,67,90
67,147,90
147,67,90
67,148,90
148,67,90
67,149,90
149,67,90
67,158,90
158,67,90
67,165,90
165,67,90
67,176,90
176,67,90
67,178,90
178,67,90
67,180,90
180,67,90
67,181,90
181,67,90
67,182,90
182,67,90
67,183,90
183,67,90
67,184,90
184,67,90
67,185,90
185,67,90
67,186,90
186,67,90
67,187,90
187,67,90
67,188,90
188,67,90
67,189,90
189,67,90
67,190,90
190,67,90
67,191,90
191,67,90
67,192,90
192,67,90
67,193,90
193,67,90
67,194,90
194,67,90
67,195,90
195,67,90
67,196,90
196,67,90
67,197,90
197,67,90
67,198,90
198,67,90
67,199,90
199,67,90
67,200,90
200,67,90
67,201,90
201,67,90
67,202,90
202,67,90
67,203,90
203,67,90
67,204,90
204,67,90
67,205,90
205,67,90
67,206,90
206,67,90
67,207,90
207,67,90
67,208,90
208,67,90
67,209,90
209,67,90
67,210,90
210,67,90
67,211,90
211,67,90
67,212,90
212,67,90
67,213,90
213,67,90
67,214,90
214,67,90
67,215,90
215,67,90
